,Title,counts
158,Machine Learning for Social Science: An Agnostic Approach,1
159,Machine learning models for mathematical symbol recognition: A stem to stern literature analysis,1
160,Making sense of Big Data --can it transform operations management?,1
161,"Managing the Boundaries of Taste: Culture, Valuation, and Computational Social Science",1
162,Market segmentation: A multiple criteria approach combining preference analysis and segmentation decision,1
163,Massive Open Online Courses (MOOCs): Data on higher education,1
164,Matching the Blanks: Distributional Similarity for Relation Learning,1
165,Materialism and the sharing economy: A cross-cultural study of American and Indian consumers,1
166,MeanSum: A Neural Model for Unsupervised Multi-document Abstractive Summarization,1
167,Measuring and Managing the Externality of Managerial Responses to Online Customer Reviews,1
168,Measuring credit risk using qualitative disclosure,1
169,Measuring the interdisciplinarity of Big Data research: a longitudinal study,1
170,Medical informatics research trend analysis: A text mining approach,1
171,MetaPAD: Meta Pattern Discovery from Massive Text Corpora,1
152,Methodological Cyborg as Black Feminist Technology: Constructing the Social Self Using Computational Digital Autoethnography and Social Media,1
150,MiCE: Mixture of Contrastive Experts for Unsupervised Image Clustering,1
129,Microblog sentiment analysis with weak dependency connections,1
149,Mining meaning from online ratings and reviews: Tourist satisfaction~analysis using latent dirichlet~allocation,1
130,Mining opinions from instructor evaluation reviews: A deep learning approach,1
131,Mining product innovation ideas from online reviews,1
132,Mining tag-clouds to improve social media recommendation,1
133,Mining the voice of employees: A text mining approach to identifying and analyzing job satisfaction factors from online employee reviews,1
134,Model-based Clustering of Short Text Streams,1
135,Modeling Empathy and Distress in Reaction to News Stories,1
136,Modeling reference experience in destination choice,1
137,Modelling Research Topic Trends in Community Forestry,1
138,MoocRec: Learning Styles-Oriented MOOC Recommender and Search Engine,1
139,Motivations and constraints of Airbnb consumers: Findings from a mixed-methods approach,1
140,Movie Recommendation System Using NLP Tools,1
141,Multi Task Mutual Learning for Joint Sentiment Classification and Topic Detection,1
142,Multi-Level Variational Autoencoder: Learning Disentangled Representations from Grouped Observations,1
143,Multi-Task Deep Neural Networks for Natural Language Understanding,1
144,Multi-modal matrix factorization with side information for recommending massive open online courses,1
145,Multi-source data fusion study in scientometrics,1
146,Multilingual Denoising Pre-training for Neural Machine Translation,1
147,Multimodal Topic Labelling,1
148,Narratives of the Refugee Crisis: A Comparative Study of Mainstream-Media and Twitter,1
172,Natural Language Processing Techniques to Reveal Human-Computer Interaction for Development Research Topics,1
151,Networks,1
173,Neural Topic Model with Attention for Supervised Learning,1
197,Neural Topic Model with Reinforcement Learning,1
199,Neural Topic Modeling with Cycle-Consistent Adversarial Training,1
200,"News sentiment, credit spreads, and information asymmetry",1
201,Nonparametric Bayesian Negative Binomial Factor Analysis,1
202,Notice of Violation of IEEE Publication Principles: A study to Understand Malware Behavior through Malware Analysis,1
203,Numerical simulation for the solitary wave of Zakharov{\textendash}Kuznetsov equation based on lattice Boltzmann method,1
204,Nurturing Online Communities: An Empirical Investigation,1
205,Omnichannel businesses in the publishing and retailing industries: Synergies and tensions between coexisting online and offline business models,1
206,On Evaluating and Comparing Open Domain Dialog Systems,1
207,On Semantics and Deep Learning for Event Detection in Crisis Situations,1
208,On the Sentence Embeddings from Pre-trained Language Models,1
209,Online Emotion Regulation in Digitally Mediated Bereavement. Why Age and Kind of Loss Matter in Grieving Online,1
210,Online Handwritten Mathematical Expression Recognition and Applications: A Survey,1
211,Online Learning: A Panacea in the Time of {COVID}-19 Crisis,1
212,Online complaining behavior: Does cultural background and hotel class matter?,1
213,Open Event Extraction from Online Text using a Generative Adversarial Network,1
214,Opinion summarization methods: Comparing and extending extractive and abstractive approaches,1
215,Organizational Work{\textendash}Life Policies and the Gender Wage Gap in European Workplaces,1
216,"Our Privacy Needs to Be Protected at All Costs"": Crowd Workers' Privacy Experiences on Amazon Mechanical Turk""",1
217,Overview of the CLEF eHealth 2019 multilingual information extraction,1
198,Overview of the CLEF eHealth Evaluation Lab 2020,1
196,PAWS: Paraphrase Adversaries from Word Scrambling,1
175,Participant Crosstalk: Issues When Using the Mechanical Turk,1
195,Pattern generation strategies for improving recognition of Handwritten Mathematical Expressions,1
176,"Peer-to-Peer Product Sharing: Implications for Ownership, Usage, and Social Welfare in the Sharing Economy",1
177,Peer-to-peer interactions: Perspectives of Airbnb guests and hosts,1
178,Persisting big-data: The NoSQL landscape,1
179,Personality and self-reported preference for music genres and attributes in a German-speaking sample,1
180,Personality-based refinement for sentiment classification in microblog,1
181,Personalized Point-of-Interest Recommendation on Ranking with Poisson Factorization,1
182,Perverse effects of output-based research funding? Butler's Australian case revisited,1
183,Photoacoustic imaging of live chicken embryo at multiple developmental stages,1
184,Phrase-Indexed Question Answering: A New Challenge for Scalable Document Comprehension,1
127,Poincar{\'e} GloVe: Hyperbolic Word Embeddings,1
186,Pointer Sentinel Mixture Models,1
187,Predicting ICD-9 code groups with fuzzy similarity based supervised multi-label classification of unstructured clinical nursing notes,1
188,Predicting the helpfulness of online reviews using a scripts-enriched text regression model,1
189,Prediction of places of visit using tweets,1
190,Principles of marketing,1
191,"Privacy, Power, and Invisible Labor on Amazon Mechanical Turk",1
192,Privacy-Preserving Task Recommendation Services for Crowdsourcing,1
193,Processing Long Queries Against Short Text: Top-k Advertisement Matching in News Stream Applications,1
194,Product innovation based on online review data mining: a case study of Huawei phones,1
174,Proposing New Blockchain Challenges in {eHealth},1
128,Public Perceptions and Attitudes Toward {COVID}-19 Nonpharmaceutical Interventions Across Six Countries: A Topic Modeling Analysis of Twitter Data,1
115,Public discourse and sentiment during the {COVID} 19 pandemic: Using Latent Dirichlet Allocation for topic modeling on Twitter,1
126,Pulling Out the Stops: Rethinking Stopword Removal for Topic Models,1
61,Quantifying Search Bias: Investigating Sources of Bias for Political Searches in Social Media,1
62,Quantifying the emotional impact of events on locations with social media,1
71,Ranking influencers of social networks by semantic kernels and sentiment information,1
72,Rapid Classification of Crisis-Related Data on Social Networks using Convolutional Neural Networks,1
68,Reading Between the Lines: Prediction of Political Violence Using Newspaper Text,1
63,Real-Time Twitter Corpus Labelling Using Automatic Clustering Approach,1
79,Real-time event detection for online behavioral analysis of big social data,1
78,Recent automatic text summarization techniques: a survey,1
76,Recognizing Pathogenic Empathy in Social Media,1
75,Recognizing handwritten mathematical expressions as LaTex sequences using a multiscale robust neural network,1
74,Recommendation System for Knowledge Acquisition in {MOOCs} Ecosystems,1
73,Recurrent Batch Normalization,1
70,Reformulating Unsupervised Style Transfer as Paraphrase Generation,1
69,Relationship between customer sentiment and online customer ratings for hotels - An empirical analysis,1
64,Relationships between Hofstede's cultural dimensions and tourist satisfaction: A cross-country cross-sample examination,1
67,"Remember the MOOCs? After near-death, they're booming",1
66,Representing Contexual Relations with Sanskrit Word Embeddings,1
65,Research on Mathematical Formula Knowledge Base for Formula Recognition,1
58,Research paper classification systems based on TF-IDF and LDA schemes,1
59,Research patterns and trends in software effort estimation,1
57,Research portfolio analysis and topic prominence,1
60,Residual Gated Graph ConvNets,1
80,Robust Domain Adaptation Approach for Tweet Classification for Crisis Response,1
77,Robust encoder-decoder learning framework for offline handwritten mathematical expression recognition based on a multi-scale deep neural network,1
82,Role of social media in retail network operations and marketing to enhance customer satisfaction,1
105,SCAN: Learning to Classify Images without Labels,1
107,SECNLP: A survey of embeddings in clinical natural language processing,1
108,STExNMF: Spatio-Temporally Exclusive Topic Discovery for Anomalous Event Detection,1
109,STORIUM: A Dataset and Evaluation Platform for Machine-in-the-Loop Story Generation,1
110,Same data---different results? Towards a comparative approach to the identification of thematic structures in science,1
111,Scalable Sentiment for Sequence-to-Sequence Chatbot Response with Performance Analysis,1
112,Scientific evolutionary pathways: Identifying and visualizing relationships for scientific topics,1
113,Scrambling for metadata: Using topic modeling and word2vec to explore the archives of the european commission,1
114,Self-Taught Convolutional Neural Networks for Short Text Clustering,1
116,Self-labelling via simultaneous clustering and representation learning,1
117,Semantic Relatedness Enhanced Graph Network for aspect category sentiment analysis,1
118,Semantic structure-based word embedding by incorporating concept convergence and word divergence,1
119,Semantic text classification: A survey of past and recent advances,1
120,Sensing climate change and energy issues: Sentiment and emotion analysis with social media in the U.K. and Spain,1
121,Sentiment Analysis Is a Big Suitcase,1
122,Sentiment Analysis Using Word2vec And Long Short-Term Memory ({LSTM}) For Indonesian Hotel Reviews,1
123,Sentiment Analysis in TripAdvisor,1
124,Sentiment Analysis of MOOC learner reviews: What motivates learners to complete a course?,1
125,"Sentiment Analysis of Restaurant Customer Reviews on TripAdvisor using Na{\\i}ve Bayes""",1
106,Sentiment Classification of Consumer-Generated Online Reviews Using Topic Modeling,1
104,Sentiment analysis leveraging emotions and word embeddings,1
83,Sentiment analysis on Twitter data with semi-supervised Doc2Vec,1
103,Sentiment analysis on product reviews based on weighted word embeddings and deep neural networks,1
84,SeqSense: Video Recommendation Using Topic Sequence Mining,1
85,"Service Quality Perceptions, Online Visibility, and Business Performance in Rural Lodging Establishments",1
86,SetExpan: Corpus-Based Set Expansion via Context Feature Selection and Rank Ensemble,1
87,Setting the future of digital and social media marketing research: Perspectives and research propositions,1
88,Sharing economy and incumbents' pricing strategy: The impact of Airbnb on the hospitality industry,1
89,Sharing economy revisited: Towards a new framework for understanding sharing models,1
90,Shoestring: Graph-based semi-supervised classification with severely limited labeled data,1
91,"Short Text Topic Modeling Techniques, Applications, and Performance: A Survey",1
92,Short text topic modeling by exploring original documents,1
93,"Short text topic modeling techniques, applications, and performance: a survey",1
94,Simulated Annealing,1
95,"Social Media, Science, and Attack Discourse: How Twitter Discussions of Climate Change Use Sarcasm and Incivility",1
96,Social media analytics for quality surveillance and safety hazard detection in baby cribs,1
97,Social science perspectives on drivers of and responses to global climate change,1
98,SpanBERT: Improving Pre-training by Representing and Predicting Spans,1
99,Stability of topic modeling via matrix factorization,1
100,Stick-Breaking Variational Autoencoders,1
101,Structured Disentangled Representations,1
102,Success and Failure in Software Engineering: A Followup Systematic Literature Review,1
218,Summarizing Opinions: Aspect Extraction Meets Sentiment Prediction and They Are Both Weakly Supervised,1
185,Summarizing User-generated Textual Content: Motivation and Methods for Fairness in Algorithmic Summaries,1
220,Supervised Multi-Specialist Topic Model with Applications on Large-Scale Electronic Health Record Data,1
244,Supporting Clustering with Contrastive Learning,1
341,Supporting Serendipity: Opportunities and Challenges for Human-AI Collaboration in Qualitative Analysis,1
342,T-BERT -- Model for Sentiment Analysis of Micro-blogs Integrating Topic Model and BERT,1
343,TDAM: A topic-dependent attention model for sentiment analysis,1
344,Tabu Search,1
345,Target-aware convolutional neural network for target-level sentiment analysis,1
346,Targeted Twitter Sentiment Analysis for Brands Using Supervised Feature Engineering and the Dynamic Architecture for Artificial Neural Networks,1
347,Targeted aspects oriented topic modeling for short texts,1
348,TaxoGen: Unsupervised Topic Taxonomy Construction by Adaptive Term Embedding and Clustering,1
349,Techniques for Interpretable Machine Learning,1
350,Temperature and temperament: Evidence from Twitter,1
351,Testing Retail Marketing-Mix Effects on Patronage: A Meta-Analysis,1
352,Text Classification of Manifestos and COVID-19 Press Briefings using BERT and Convolutional Neural Networks,1
353,Text Mining Approaches for Postmarket Food Safety Surveillance Using Online Media,1
219,Text classification method based on self-training and {LDA} topic models,1
355,Text-Based Ideal Points,1
356,The Berkeley Earth Land/Ocean Temperature Record,1
357,The Car Sharing Economy: Interaction of Business Model Choice and Product Line Design,1
358,The Curious Case of Neural Text Degeneration,1
359,The Dynamic Embedded Topic Model,1
340,The Effects of Culture on Consumers{\textquotesingle} Consumption and Generation of Online Reviews,1
339,The Evolution of Blockchain: A Bibliometric Study,1
338,The Framework of Personalized Ranking on Poisson Factorization,1
337,The Future is Big Graphs! A Community View on Graph Processing Systems,1
317,The Impact of Customer Reviews on Product Innovation: Empirical Evidence in Mobile Apps,1
318,The Language of Social Support in Social Media and Its Effect on Suicidal Ideation Risk,1
319,The Measure and Mismeasure of Fairness: A Critical Review of Fair Machine Learning,1
320,The Mythos of Model Interpretability,1
321,The Politics of Scrutiny in Human Rights Monitoring: Evidence from Structural Topic Models of US State Department Human Rights Reports,1
322,The Remarkable Benefit of User-Level Aggregation for Lexical-based Population-Level Predictions,1
323,The Rise of the Sharing Economy: Estimating the Impact of Airbnb on the Hotel Industry,1
324,The Role of Big Data and Predictive Analytics in Retailing,1
325,The Role of Surge Pricing on a Service Platform with Self-Scheduling Capacity,1
316,"The Sense of Agency Scale: A Measure of Consciously Perceived Control over One{\textquotesingle}s Mind, Body, and the Immediate Environment",1
326,The State-of-the-Art in Twitter Sentiment Analysis,1
328,The Top 100 Articles in the Medical Informatics: a Bibliometric Analysis,1
329,The Utility of Hierarchical Dirichlet Process for Relationship Detection of Latent Constructs,1
330,The blockchain: State-of-the-art and research challenges,1
331,"The case of computer science education, employment, gender, and race/ethnicity in Silicon Valley, 1980{\textendash}2015",1
332,The complexity of consumer experience formulation in the sharing economy,1
333,The effect of user-controllable filters on the prediction of online hotel reviews,1
334,The effects of hotel attribute performance on electronic word-of-mouth (eWOM) behaviors,1
335,The effects of national cultural values on individuals' intention to participate in peer-to-peer sharing economy,1
336,The effects of trait-based personalization in social media advertising,1
360,The effects of traveling for business on customer satisfaction with hotel services,1
327,The influence of e-services on customer online purchasing behavior toward remanufactured products,1
361,The influence of temperature on {\#}{ClimateChange} and {\#}{GlobalWarming} discourses on Twitter,1
374,The learning behaviours of dropouts in MOOCs: A collective attention network perspective,1
388,The longest path in the Price model,1
389,The measurement of {\textquotedblleft}interdisciplinarity{\textquotedblright} and {\textquotedblleft}synergy{\textquotedblright} in scientific and extra-scientific collaborations,1
390,The repeat rate: from Hirschman to Stirling,1
391,The role of culture and purchasing power parity in shaping mall-shoppers' profiles,1
392,The sharing economy and digital platforms: A review and research agenda,1
393,The sharing economy and the future of the hotel industry: Transaction cost theory and platform economics,1
394,The {MOOC} dropout phenomenon and retention strategies,1
395,"Therapeutic alliance, empathy, and genuineness in individual adult psychotherapy: A meta-analytic review",1
396,Top2Vec: Distributed Representations of Topics,1
397,Topic Augmented Generator for Abstractive Summarization,1
398,Topic Intrusion for Automatic Topic Model Evaluation,1
399,Topic Memory Networks for Short Text Classification,1
400,Topic Model or Topic Twaddle? Re-evaluating Semantic Interpretability Measures,1
401,Topic Modeling Revisited: A Document Graph-based Neural Network Perspective,1
402,Topic Modeling and Text Analysis for Qualitative Policy Research,1
403,Topic Modeling on Document Networks with Adjacent-Encoder,1
404,Topic Modeling over Short Texts by Incorporating Word Embeddings,1
405,Topic Modelling Meets Deep Neural Networks: A Survey,1
406,Topic diffusion analysis of a weighted citation network in biomedical literature,1
387,Topic diversity: A discipline scheme-free diversity measurement for journals,1
386,Topic modeling and sentiment analysis of global climate change tweets,1
385,Topic modeling of weather and climate condition on twitter using latent dirichlet allocation (LDA),1
384,Topic modelling discourse dynamics in historical newspapers,1
364,Topic-Aware Deep Compositional Models for Sentence Classification,1
365,Topic-Guided Variational Autoencoders for Text Generation,1
366,Topic-based Evaluation for Conversational Bots,1
367,Topic-based knowledge mining of online student reviews for strategic planning in universities,1
368,TopicOnTiles: Tile-Based Spatio-Temporal Event Analytics via Exclusive Topic Modeling on Social Media,1
369,TopicRNN: A Recurrent Neural Network with Long-Range Semantic Dependency,1
370,Topical Phrase Extraction from Clinical Reports by Incorporating both Local and Global Context,1
371,Topicalizer: reframing core concepts in machine learning visualization by co-designing for interpretivist scholarship,1
372,Toward an excellence-based research funding system: Evidence from Poland,1
363,Toward understanding 17th century English culture: A structural topic model of Francis Bacon{\textquotesingle}s ideas,1
373,Towards Autoencoding Variational Inference for Aspect-based Opinion Summary,1
375,Towards a Definition of Disentangled Representations,1
376,Tracing Fake-News Footprints: Characterizing Social Media Messages by How They Propagate,1
377,Tracing Technological Development Trajectories: A Genetic Knowledge Persistence-Based Main Path Approach,1
378,Tracing technological development trajectories: A genetic knowledge persistence-based main path approach,1
379,Tracking Social Media Discourse About the {COVID}-19 Pandemic: Development of a Public Coronavirus Twitter Data Set,1
380,Transfer Topic Labeling with Domain-Specific Knowledge Base: An Analysis of UK House of Commons Speeches 1935-2014,1
381,TransferTransfo: A Transfer Learning Approach for Neural Network Based Conversational Agents,1
382,Transformer based Deep Intelligent Contextual Embedding for Twitter sentiment analysis,1
383,Transformers: State-of-the-Art Natural Language Processing,1
362,Transparency and accountability in AI decision support: Explaining and visualizing convolutional neural networks for text information,1
315,Trends on Health in Social Media: Analysis using Twitter Topic Modeling,1
314,Trust propagation algorithm based on learning automata for inferring local trust in online social networks,1
313,Truth Bias and Partisan Bias in Political Deception Detection,1
246,Turkish Sentiment Analysis Using Machine Learning Methods: Application on Online Food Order Site Reviews,1
247,Turkish Sentiment Analysis on Social Media,1
248,Turkish document classification based on Word2Vec and SVM classifier,1
249,Tweeting on {COVID}-19 pandemic in South Africa: {LDA}-based topic modelling approach,1
250,Twitter and Research: A Systematic Literature Review Through Text Mining,1
251,Twitter and climate change,1
252,Twitter as a Tool for Health Research: A Systematic Review,1
253,Twitter speaks: A case of national disaster situational awareness,1
254,UMAP: Uniform Manifold Approximation and Projection for Dimension Reduction,1
245,UX Design Innovation: Challenges for Working with Machine Learning as a Design Material,1
255,Uncertainty-aware self-training for few-shot text classification,1
257,Understanding Service Providers' Competency in Knowledge-Intensive Crowdsourcing Platforms: An {LDA} Approach,1
258,Understanding Users' Budgets for Recommendation with Hierarchical Poisson Factorization,1
259,"Understanding repurchase intention of Airbnb consumers: perceived authenticity, electronic word-of-mouth, and price sensitivity",1
260,Understanding the Impact of Online Reviews on Hotel Performance,1
261,Understanding the Public Discussion About the Centers for Disease Control and Prevention During the {COVID}-19 Pandemic Using Twitter Data: Text Mining Analysis Study,1
262,United We Stand: Using Multiple Strategies for Topic Labeling,1
263,Unpaired Image-to-Image Translation Using Cycle-Consistent Adversarial Networks,1
264,Unraveling the diverse nature of service quality in a sharing economy,1
265,Unsupervised Learning of Sentence Representations Using Sequence Consistency,1
256,Unsupervised Opinion Summarization as Copycat-Review Generation,1
243,Unsupervised User Behavior Representation for Fraud Review Detection with Cold-Start Problem,1
232,Unsupervised Word Embedding Learning by Incorporating Local and Global Contexts,1
242,Unsupervised machine learning for the discovery of latent disease clusters and patient subgroups using electronic health records,1
222,Updating guidance for reporting systematic reviews: development of the PRISMA 2020 statement,1
223,Using deep learning and visual analytics to explore hotel reviews and responses,1
224,Using time-sensitive interactions to improve topic derivation in twitter,1
225,Using weak supervision to generate training datasets from social media data: a proof of concept to identify drug mentions,1
226,Value co-creation and co-destruction in the Airbnb sharing economy,1
227,Values of food leftover sharing platforms in the sharing economy,1
228,Variational Autoencoders for Semi-supervised Text Classification,1
229,Variational Autoencoders for Sparse and Overdispersed Discrete Data,1
230,Variational Deep Semantic Hashing for Text Documents,1
221,Variational Inference of Disentangled Latent Concepts from Unlabeled Observations,1
231,Variational Inference: A Review for Statisticians,1
233,Vec2GC -- A Graph Based Clustering Method for Text Representations,1
234,Very Deep Convolutional Networks for Text Classification,1
235,Visual analytics for exploring topic long-term evolution and detecting weak signals in company targeted tweets,1
236,Viziometrics: Analyzing Visual Information in the Scientific Literature,1
237,Von Mises-Fisher Loss for Training Sequence to Sequence Models with Continuous Outputs,1
238,W2VLDA: Almost unsupervised system for Aspect Based Sentiment Analysis,1
239,WHAI: Weibull Hybrid Autoencoding Inference for Deep Topic Modeling,1
240,Weakly supervised topic sentiment joint model with word embeddings,1
241,Weakly-Supervised Hierarchical Text Classification,1
266,Weakly-Supervised Opinion Summarization by Leveraging External Information,1
267,Weakly-supervised Relation Extraction by Pattern-enhanced Embedding Learning,1
268,Web-Based Recommendation System Architecture for Knowledge Reuse in MOOCs Ecosystems,1
280,What Are MOOCs Learners' Concerns? Text Analysis of Reviews for Computer Science Courses,1
294,What are the key themes associated with the positive learning experience in MOOCs? An empirical investigation of learners' ratings and reviews,1
295,What is wrong with topic modeling? And how to fix it using search-based software engineering,1
296,What makes tourists feel negatively about tourism destinations? Application of hybrid text mining methodology to smart destination management,1
297,What you can cram into a single {\$}{\&}!{\#}* vector: Probing sentence embeddings for linguistic properties,1
298,When do extreme weather events generate attention to climate change?,1
299,"When is enough, enough? Investigating product reviews and information overload from a consumer empowerment perspective",1
300,Which Type of Citation Analysis Generates the Most Accurate Taxonomy of Scientific and Technical Knowledge?,1
301,"Why Are Extraverts More Satisfied? Personality, Social Experiences, and Subjective Well{\textendash}Being in College",1
302,Why Tourists Choose Airbnb: A Motivation-Based Segmentation Study,1
303,Why travelers use Airbnb again?,1
304,Word Embeddings for Practical Information Retrieval,1
305,Word2vec-based latent semantic analysis (W2V-{LSA}) for topic modeling: A study on blockchain technology trend analysis,1
306,ZmBART: An Unsupervised Cross-lingual Transfer Framework for Language Generation,1
307,``Participant'' Perceptions of Twitter Research Ethics,1
308,``You'' and ``I'' in a foreign land: The persuasive force of generic-you,1
309,beta-{VAE}: Learning Basic Visual Concepts with a Constrained Variational Framework,1
310,explosion/spaCy: v3.4.3: Extended Typer support and bug fixes,1
311,fastText Quick Start Guide: Get started with Facebook's library for text representation and classification,1
312,phylotree.js - a JavaScript library for application development and interactive data visualization in phylogenetics,1
293,{Automated Text Annotation for Social Media Data during Natural Disasters},1
292,"{BAMLSS}: Bayesian Additive Models for Location, Scale, and Shape (and Beyond)",1
291,{BART}-{TL}: Weakly-Supervised Topic Label Generation,1
290,"{Can topic models be used in research evaluations? Reproducibility, validity, and reliability when compared with semantic maps}",1
270,{DUTH} at {S}em{E}val-2021 Task 7: Is Conventional Machine Learning for Humorous and Offensive Tasks enough in 2021?,1
271,{Emotional foundations of the public climate change divide},1
272,{FLAIR}: An Easy-to-Use Framework for State-of-the-Art {NLP},1
273,{F}ew{R}el: A Large-Scale Supervised Few-Shot Relation Classification Dataset with State-of-the-Art Evaluation,1
274,{I}nterpreting {P}retrained {C}ontextualized {R}epresentations via {R}eductions to {S}tatic {E}mbeddings,1
275,"{LASSO}-type penalization in the framework of generalized additive models for location, scale and shape",1
276,{MPST}: A Corpus of Movie Plot Synopses with Tags,1
277,{MedBlock}: Efficient and Secure Medical Data Sharing Via Blockchain,1
278,{MixEHR}-Guided: A guided multi-modal topic modeling approach for large-scale automatic phenotyping using the electronic health record,1
269,{P}ara{NMT}-50{M}: Pushing the Limits of Paraphrastic Sentence Embeddings with Millions of Machine Translations,1
279,{Reparameterization Gradients through Acceptance-Rejection Sampling Algorithms},1
281,{SSC}-{EKE}: Semi-supervised classification with extensive knowledge exploitation,1
282,{S}em{E}val-2017 Task 4: Sentiment Analysis in {T}witter,1
283,{S}iamese Network-Based Supervised Topic Modeling,1
284,{The impact of e-service offerings on the demand of online customers},1
285,{T}axo{C}lass: Hierarchical Multi-Label Text Classification Using Only Class Names,1
286,{T}urku Neural Parser Pipeline: An End-to-End System for the {C}o{NLL} 2018 Shared Task,1
287,{T}witter Topic Modeling by Tweet Aggregation,1
288,{W}asserstein Generative Adversarial Networks,1
289,"{spaCy} 2: {Natural} language understanding with {Bloom} embeddings, convolutional neural networks and incremental parsing",1
781,{sureLDA}: A multidisease automated phenotyping method for the electronic health record,1
37,A Topic Model Based on Poisson Decomposition,2
43,A comparative evaluation of pre-processing techniques and their interactions for twitter sentiment analysis,2
52,A general framework to expand short text for topic modeling,2
13,A principled methodology for comparing relatedness measures for clustering publications,2
21,ATM:Adversarial-neural Topic Model,2
26,Adversarial Learning for Topic Models,2
32,An Unsupervised Neural Attention Model for Aspect Extraction,2
25,An integrated approach to path analysis for weighted citation networks,2
34,Applying {LDA} Topic Modeling in Communication Research: Toward a Valid and Reliable Methodology,2
54,Attention Is All You Need,2
49,Automated defect discovery for dishwasher appliances from online consumer reviews,2
50,Automated topic modeling of tourist reviews: Does the Anna Karenina principle apply?,2
55,Automatic Generation of Topic Labels,2
56,"BART: Denoising Sequence-to-Sequence Pre-training for Natural Language Generation, Translation, and Comprehension",2
23,Comparison of topic extraction approaches and their results,2
19,Content-Based Social Recommendation with Poisson Matrix Factorization,2
41,Discriminative Topic Mining via Category-Name Guided Text Embedding,2
40,Disentangled Representation Learning for Non-Parallel Text Style Transfer,2
42,Disentangling consumer recommendations: Explaining and predicting airline recommendations based on online reviews,2
28,Enhancing topic modeling for short texts with auxiliary word embeddings,2
29,Evaluating Topic Representations for Exploring Document Collections,2
30,Evaluating Visual Representations for Topic Understanding and Their Effects on Manually Generated Topic Labels,2
16,Guiding Corpus-based Set Expansion by Auxiliary Sets Generation and Co-Expansion,2
15,Incorporating product description to sentiment topic models for improved aspect-based sentiment analysis,2
17,Instance labeling in semi-supervised learning with meaning values of words,2
51,Is Automated Topic Model Evaluation Broken?: The Incoherence of Coherence,2
45,Language Models are Unsupervised Multitask Learners,2
38,Measuring LDA Topic Stability from Clusters of Replicated Runs,2
47,Measuring Topic Coherence through Optimal Word Buckets,2
44,Measuring service quality from unstructured data: A topic modeling application on airline passengers' online reviews,2
35,MetaLDA: a Topic Model that Efficiently Incorporates Meta information,2
24,Mining meaning from online ratings and reviews: Tourist satisfaction analysis using latent dirichlet allocation,2
22,Neural Topic Modeling with Bidirectional Adversarial Training,2
33,Poincar{\'e} Embeddings for Learning Hierarchical Representations,2
36,Re-Ranking Words to Improve Interpretability of Automatically Generated Topics,2
53,Spherical Text Embedding,2
20,The Pile: An 800GB Dataset of Diverse Text for Language Modeling,2
39,Topically Driven Neural Language Model,2
14,Two evidential data based models for influence maximization in Twitter,2
27,Universal Sentence Encoder,2
31,Using structural topic modeling to identify latent topics and trends in aviation incident reports,2
18,Weakly-Supervised Neural Text Classification,2
48,textblob Documentation,2
46,{BERT}: Pre-training of Deep Bidirectional Transformers for Language Understanding,2
11,Aggregated topic models for increasing social media topic coherence,3
9,Automated Phrase Mining from Massive Text Corpora,3
6,BERTScore: Evaluating Text Generation with BERT,3
10,Discovering Discrete Latent Topics with Neural Variational Inference,3
7,Doubly Nonparametric Sparse Nonnegative Matrix Factorization Based on Dependent Indian Buffet Processes,3
12,Efficient Correlated Topic Modeling with Topic Embedding,3
8,Neural Models for Documents with Metadata,3
3,RoBERTa: A Robustly Optimized BERT Pretraining Approach,4
5,Topic Modeling in Embedding Spaces,4
4,Topic Modeling with {W}asserstein Autoencoders,4
2,Sentence-BERT: Sentence Embeddings using Siamese BERT-Networks,5
1,Autoencoding Variational Inference For Topic Models,7
0,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,9
